,Date,stepCount
0,2024-07-01,5882
1,2024-07-02,2498
2,2024-07-03,3178
3,2024-07-04,6168
4,2024-07-05,6304
5,2024-07-06,4778
6,2024-07-07,5447
7,2024-07-08,8141
8,2024-07-09,2384
9,2024-07-10,6152
10,2024-07-11,3972
11,2024-07-12,5132
12,2024-07-13,4265
13,2024-07-14,4561
14,2024-07-15,4269
15,2024-07-16,5386
16,2024-07-17,3422
17,2024-07-18,2950
18,2024-07-19,4267
19,2024-07-20,8592
20,2024-07-21,2977
21,2024-07-22,2866
22,2024-07-23,3596
23,2024-07-24,4432
24,2024-07-25,4758
25,2024-07-26,3622
26,2024-07-27,2217
27,2024-07-28,3040
28,2024-07-29,3131
29,2024-07-30,1080
30,2024-07-31,2241
31,2024-08-01,4013
32,2024-08-02,2956
33,2024-08-03,3650
34,2024-08-04,1216
35,2024-08-05,3544
36,2024-08-06,7245
37,2024-08-07,5116
38,2024-08-08,2694
39,2024-08-09,4374
40,2024-08-10,5095
41,2024-08-11,4522
42,2024-08-12,4395
43,2024-08-13,4017
44,2024-08-14,1113
45,2024-08-15,6964
46,2024-08-16,5423
47,2024-08-17,3284
48,2024-08-18,3838
49,2024-08-19,7383
50,2024-08-20,1096
51,2024-08-21,5258
52,2024-08-22,3906
53,2024-08-23,2351
54,2024-08-24,1828
55,2024-08-25,1963
56,2024-08-26,2483
57,2024-08-27,2060
58,2024-08-28,1581
59,2024-08-29,4855
60,2024-08-30,3915
61,2024-08-31,7072
62,2024-09-01,11507
63,2024-09-02,4026
64,2024-09-03,7672
65,2024-09-04,4817
66,2024-09-05,4136
67,2024-09-06,5511
68,2024-09-07,4384
69,2024-09-08,4447
70,2024-09-09,3879
71,2024-09-10,2935
72,2024-09-11,3897
73,2024-09-12,2966
74,2024-09-13,7544
75,2024-09-14,6607
76,2024-09-15,3311
77,2024-09-16,2957
78,2024-09-17,5356
79,2024-09-18,4169
80,2024-09-19,3157
81,2024-09-20,3377
82,2024-09-21,456
83,2024-09-22,3808
84,2024-09-23,286
85,2024-09-24,597
86,2024-09-25,3501
87,2024-09-26,2131
88,2024-09-27,4638
89,2024-09-28,5457
90,2024-09-29,1289
91,2024-09-30,3592
92,2024-10-01,4346
93,2024-10-02,1983
94,2024-10-03,3588
95,2024-10-04,1816
96,2024-10-05,968
97,2024-10-06,3254
98,2024-10-07,975
99,2024-10-08,2904
100,2024-10-09,3672
101,2024-10-10,2310
102,2024-10-11,2490
103,2024-10-12,1026
104,2024-10-13,1273
105,2024-10-14,1317
106,2024-10-15,4604
107,2024-10-16,3677
108,2024-10-17,3092
109,2024-10-18,20287
110,2024-10-19,10284
111,2024-10-20,15262
112,2024-10-21,4501
113,2024-10-22,1666
114,2024-10-23,2435
115,2024-10-24,18566
116,2024-10-25,12292
117,2024-10-26,10249
118,2024-10-27,4223
119,2024-10-28,689
120,2024-10-29,4979
121,2024-10-30,2173
122,2024-10-31,1787
123,2024-11-01,2379
124,2024-11-02,925
125,2024-11-03,3568
126,2024-11-04,1770
127,2024-11-05,4978
128,2024-11-06,1712
129,2024-11-07,2638
130,2024-11-08,5528
131,2024-11-09,967
132,2024-11-10,6178
133,2024-11-11,4405
134,2024-11-12,5488
135,2024-11-13,1830
136,2024-11-14,4138
137,2024-11-15,2160
138,2024-11-16,1425
139,2024-11-17,2037
140,2024-11-18,7628
141,2024-11-19,4748
142,2024-11-20,3365
143,2024-11-21,1284
